,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,3.2925362950347603,18.0
1,SNX-USD,ICP-USD,0.6718156668953711,18.0
2,SNX-USD,ETC-USD,0.14877708142039378,22.0
3,SNX-USD,ZEC-USD,0.0896473118734901,19.0
4,SNX-USD,LINK-USD,0.3723489191174245,13.0
5,SNX-USD,ATOM-USD,0.2993580227445857,22.0
6,SNX-USD,BCH-USD,0.011282030152062684,20.0
7,SNX-USD,ENJ-USD,9.018539822943827,19.0
8,SNX-USD,FIL-USD,0.6297548226841742,15.0
9,SNX-USD,ZRX-USD,13.033628056437793,20.0
10,SNX-USD,TRX-USD,34.10719915397831,13.0
11,SNX-USD,YFI-USD,0.00040408910919545763,21.0
12,SNX-USD,COMP-USD,0.039150542249914225,19.0
13,SNX-USD,XLM-USD,18.71533131479144,18.0
14,SNX-USD,EOS-USD,3.6488839128669954,17.0
15,SNX-USD,NEAR-USD,1.925760989194382,22.0
16,SNX-USD,ALGO-USD,24.48772984934704,21.0
17,SNX-USD,XMR-USD,0.017009453717892236,18.0
18,SNX-USD,SUSHI-USD,4.004233623738301,22.0
19,SNX-USD,ADA-USD,8.808267711325806,24.0
20,SNX-USD,UMA-USD,1.728085093571902,17.0
21,SNX-USD,BTC-USD,9.328098756847405e-05,19.0
22,SNX-USD,DOT-USD,0.5238357494712631,15.0
23,SNX-USD,DOGE-USD,37.97430857970183,24.0
24,SNX-USD,LTC-USD,0.030045631150455766,18.0
25,SNX-USD,UNI-USD,0.4690136025831843,14.0
26,SNX-USD,MATIC-USD,3.676016457759336,23.0
27,SNX-USD,ETH-USD,0.0014682739667196522,20.0
28,XTZ-USD,ZEC-USD,0.027209473699300296,8.0
29,XTZ-USD,ATOM-USD,0.09091633393384622,5.0
30,XTZ-USD,EOS-USD,1.1071710445705072,8.0
31,XTZ-USD,NEAR-USD,0.5845584367362202,9.0
32,XTZ-USD,BTC-USD,2.831533920837926e-05,11.0
33,XTZ-USD,SOL-USD,0.032841555705143605,14.0
34,XTZ-USD,AVAX-USD,0.061088442930201776,13.0
35,ETC-USD,ZEC-USD,0.6022049340639452,10.0
36,ETC-USD,ATOM-USD,2.012099275557579,10.0
37,ETC-USD,BCH-USD,0.07586294414722876,9.0
38,ETC-USD,ZRX-USD,87.62327847704645,9.0
39,ETC-USD,NEAR-USD,12.935942043177324,19.0
40,ETC-USD,BTC-USD,0.0006267305408811629,7.0
41,ETC-USD,SOL-USD,0.7268169193662125,18.0
42,ETC-USD,LTC-USD,0.20195768060027608,6.0
43,ETC-USD,AAVE-USD,0.25262710099553326,20.0
44,ETC-USD,MATIC-USD,24.731663863153152,19.0
45,ETC-USD,ETH-USD,0.009866206576653736,5.0
46,ZEC-USD,ENJ-USD,100.59528636658352,4.0
47,ZEC-USD,EOS-USD,40.68621431835451,5.0
48,ZEC-USD,NEAR-USD,21.478366598127334,15.0
49,ZEC-USD,BTC-USD,0.0010405003524247747,7.0
50,ZEC-USD,LTC-USD,0.3352582108002495,11.0
51,LINK-USD,XLM-USD,50.28772571743437,14.0
52,ATOM-USD,MATIC-USD,12.292779565720029,12.0
53,ATOM-USD,AVAX-USD,0.6719256270648256,13.0
54,BCH-USD,RUNE-USD,249.5431264072283,16.0
55,BCH-USD,EOS-USD,322.8694330401747,13.0
56,BCH-USD,NEAR-USD,170.43054638178592,17.0
57,BCH-USD,ALGO-USD,2167.5387876647983,15.0
58,BCH-USD,ADA-USD,780.6985976608794,6.0
59,BCH-USD,DOT-USD,46.35284678483374,12.0
60,BCH-USD,SOL-USD,9.57760680254118,14.0
61,BCH-USD,AAVE-USD,3.329475750286552,13.0
62,BCH-USD,MATIC-USD,325.9496717760524,18.0
63,BCH-USD,AVAX-USD,17.814016953921165,15.0
64,BCH-USD,ETH-USD,0.13000192695040172,13.0
65,ENJ-USD,RUNE-USD,0.3125086611621163,24.0
66,ENJ-USD,EOS-USD,0.40440582501057076,8.0
67,ENJ-USD,NEAR-USD,0.21346749727168485,19.0
68,ENJ-USD,SUSHI-USD,0.4439323979869515,20.0
69,ENJ-USD,BTC-USD,1.0342901835265298e-05,6.0
70,RUNE-USD,AVAX-USD,0.07138722672098569,10.0
71,FIL-USD,TRX-USD,54.12086524961451,13.0
72,FIL-USD,XMR-USD,0.027003218137830236,21.0
73,ZRX-USD,LTC-USD,0.0023031564624851055,11.0
74,ZRX-USD,AAVE-USD,0.0028818912625455267,9.0
75,TRX-USD,XMR-USD,0.0004987740151394301,24.0
76,TRX-USD,UNI-USD,0.013743787796497207,10.0
77,EOS-USD,NEAR-USD,0.5278499224457405,17.0
78,EOS-USD,UMA-USD,0.4735439859915752,8.0
79,EOS-USD,BTC-USD,2.557195323304728e-05,7.0
80,EOS-USD,DOT-USD,0.1435466159422574,6.0
81,EOS-USD,LTC-USD,0.008240063538769087,9.0
82,EOS-USD,MATIC-USD,1.0089931757884998,24.0
83,NEAR-USD,BTC-USD,4.841258320996163e-05,19.0
84,ALGO-USD,MATIC-USD,0.15026673362031606,21.0
85,XMR-USD,SUSHI-USD,235.4015743957986,22.0
86,XMR-USD,LTC-USD,1.7671249184665527,19.0
87,XMR-USD,ETH-USD,0.0863484513150681,18.0
88,ADA-USD,UMA-USD,0.19585174181537612,11.0
89,ADA-USD,SOL-USD,0.01226737399475977,16.0
90,ADA-USD,MATIC-USD,0.41746418363931737,19.0
91,ADA-USD,AVAX-USD,0.022816144005993955,20.0
92,ADA-USD,ETH-USD,0.00016649606981987848,16.0
93,DOT-USD,SOL-USD,0.2064921970315134,24.0
94,DOT-USD,LTC-USD,0.057396377638336916,12.0
95,DOT-USD,MATIC-USD,7.02826850663065,24.0
96,CRV-USD,SOL-USD,0.030018289193416255,9.0
97,CRV-USD,AVAX-USD,0.05583109997601805,8.0
98,SOL-USD,LTC-USD,0.2774698855690173,18.0
99,SOL-USD,MATIC-USD,33.99779273001764,12.0
100,SOL-USD,ETH-USD,0.013554114470624386,22.0
101,LTC-USD,AAVE-USD,1.25077219688396,18.0
102,LTC-USD,UNI-USD,15.573284232812696,19.0
103,LTC-USD,AVAX-USD,6.692741492683141,23.0
104,MATIC-USD,AVAX-USD,0.05464634273254821,9.0
